time_s,received_power_w,harvested_power_w,v_cap,boost_state,capacitor_energy_j,net_capacitor_power_w,received_power_ap_w,received_power_mobile_w
46.553000000000004,1e-06,4.5e-07,0.6771756589175701,0,0.00022928343651522264,2.5e-07,0.0,0.0
46.554,1e-06,4.5e-07,0.6771760280978981,0,0.00022928368651522265,2.5e-07,0.0,0.0
46.555,1e-06,4.5e-07,0.6771763972780248,0,0.00022928393651522265,2.5e-07,0.0,0.0
46.556000000000004,1e-06,4.5e-07,0.6771767664579502,0,0.00022928418651522265,2.5e-07,0.0,0.0
46.557,1e-06,4.5e-07,0.6771771356376745,0,0.00022928443651522266,2.5e-07,0.0,0.0
46.558,1e-06,4.5e-07,0.6771775048171973,0,0.00022928468651522266,2.5e-07,0.0,0.0
46.559,1e-06,4.5e-07,0.677177873996519,0,0.00022928493651522267,2.5e-07,0.0,0.0
46.56,1e-06,4.5e-07,0.6771782431756393,0,0.00022928518651522267,2.5e-07,0.0,0.0
46.561,1e-06,4.5e-07,0.6771786123545585,0,0.00022928543651522267,2.5e-07,0.0,0.0
46.562,1e-06,4.5e-07,0.6771789815332763,0,0.00022928568651522268,2.5e-07,0.0,0.0
46.563,1e-06,4.5e-07,0.6771793507117928,0,0.00022928593651522268,2.5e-07,0.0,0.0
46.564,1e-06,4.5e-07,0.6771797198901082,0,0.0002292861865152227,2.5e-07,0.0,0.0
46.565,1e-06,4.5e-07,0.6771800890682222,0,0.0002292864365152227,2.5e-07,0.0,0.0
46.566,1e-06,4.5e-07,0.677180458246135,0,0.0002292866865152227,2.5e-07,0.0,0.0
46.567,1e-06,4.5e-07,0.6771808274238466,0,0.0002292869365152227,2.5e-07,0.0,0.0
46.568,1e-06,4.5e-07,0.6771811966013568,0,0.0002292871865152227,2.5e-07,0.0,0.0
46.569,1e-06,4.5e-07,0.6771815657786657,0,0.0002292874365152227,2.5e-07,0.0,0.0
46.57,1e-06,4.5e-07,0.6771819349557735,0,0.0002292876865152227,2.5e-07,0.0,0.0
46.571,1e-06,4.5e-07,0.6771823041326799,0,0.00022928793651522271,2.5e-07,0.0,0.0
46.572,1e-06,4.5e-07,0.6771826733093851,0,0.00022928818651522272,2.5e-07,0.0,0.0
